Rep,,Origine du lead,Intérêt pour quel service,Montant vendu,Lien du CRM,Note
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000194208024?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000192245078?pfrom=gsearch,
Guillaume,,Client déjà en CRM du passé,PROMO,"5570,4",https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000118724636?pfrom=gsearch,
Guillaume,,Site Web / Recherche Google,PROMO,"96,05",https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194217044,
Sylvain,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000005863091?pfrom=gsearch,
Morgane,,Intérêt par un produit de la boutique,PROMO,"744,59",https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194217087,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000194208544?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000193988003?pfrom=gsearch,
Richard,,AUTRE (à déterminer dans les notes),DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194217102,Instagram
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194352001?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194353006?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194364001,
Kim,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000018566001?pfrom=gsearch,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,2095,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000155451305?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194382015?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194380022?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194370003?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000194479004?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194382030?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000194479089?pfrom=gsearch,
Paul,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000093641493,
Paul,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000149928166?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194359014?pfrom=gsearch,
Guillaume,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194486039,
Richard,,Meta Ads,DISTRIBUTION PUB,"4368,35",https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000194479418?pfrom=gsearch,
Kim,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000101996019?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194486092,
Paul,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000150728020?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194515015?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000194536546?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194422043?pfrom=gsearch,
Sylvain,,Client déjà en CRM du passé,PROMO,"857,13",https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000001431003?pfrom=gsearch,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,5985,https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000115016394?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194708006,
Sylvain,,AUTRE (à déterminer dans les notes),DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194708016,facebook
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,4800,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194801001,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Contacts/1402586000108975019?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194856001?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194916001,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194916011,
Guillaume,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000160078001,
Guillaume,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194916076,
Paul,,AUTRE (à déterminer dans les notes),DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194916091,ref d'un client
Morgane,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000194916113,
Simon,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000088138206?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195013011?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000194990696?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195013031?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195028002?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195111201?pfrom=gsearch,
Sylvain,,AUTRE (à déterminer dans les notes),DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195121005,facebook
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195140006?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,4095,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195421012?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195168001?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195431001?pfrom=gsearch,
Sylvain,,AUTRE (à déterminer dans les notes),DISTRIBUTION PUB,3250,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195464001,facebook
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195421909?pfrom=gsearch,
Sylvain,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195464030,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000135792427,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195420028?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195461008?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195582093?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195499001?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195582001?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195695001?pfrom=gsearch,
Morgane,,Client déjà en CRM du passé,PROMO,1615,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000187004405?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,"9147,35",https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195700006,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195703001?pfrom=gsearch,
Kim,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195705001?pfrom=gsearch,
Guillaume,,Client déjà en CRM du passé,PROMO,"992,5",https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000096256163?pfrom=gsearch,
Sylvain,,AUTRE (à déterminer dans les notes),DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195700085,Instagram
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195778001?pfrom=gsearch,
Sylvain,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195799001,
Guillaume,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195799016,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195805001?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195799031,
Morgane,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195852001,
Richard,,A reçu notre publicité imprimé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195852011,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195852021,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195837229?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195931001?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,3250,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195923009?pfrom=gsearch,
Sylvain,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195560667?pfrom=gsearch,
Kim,,Client déjà en CRM du passé,PROMO,2604,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000065041071?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195932027?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195924005?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195983021?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000195961001?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000195983255?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,3500,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196056001?pfrom=gsearch,
Paul,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000107431129?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196145001?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,NON MENTIONNÉ,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196141005,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,2095,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196195001?pfrom=gsearch,
Guillaume,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196278003,
Morgane,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196278018,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196317001?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196294017?pfrom=gsearch,
Paul,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000151237574?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000196366214?pfrom=gsearch,
Guillaume,,Site Web / Recherche Google,PROMO,"1659,96",https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196496001,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196549001?pfrom=gsearch,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,2095,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000123358090?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,5985,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196606001?pfrom=gsearch,
Sylvain,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196595029,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196671001?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000196614300?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196608006?pfrom=gsearch,
Kim,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000141740322,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196941001?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000196970002?pfrom=gsearch,
Kim,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000051997548,
Paul,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196958011?pfrom=gsearch,
Morgane,,Intérêt par un produit de la boutique,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196977006,
Paul,,AUTRE (à déterminer dans les notes),NON MENTIONNÉ,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196977026,réf d'un client
Kim,,Client déjà en CRM du passé,DISTRIBUTION PUB,400,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000024979546,
Guillaume,,Client déjà en CRM du passé,PROMO,534,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000055733001?pfrom=gsearch,
Guillaume,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000007538001,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196939014?pfrom=gsearch,
Guillaume,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197021001,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197021011,
Kim,,Client déjà en CRM du passé,DISTRIBUTION PUB,"3509,03",https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000023885125?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197021021,
Sylvain,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000170197013?pfrom=gsearch,
Guillaume,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197024174,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197024202,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196982050?pfrom=gsearch,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000005001011,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000197150033?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000196942080?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000197153004?pfrom=gsearch,
Morgane,,Client déjà en CRM du passé,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000088112001?pfrom=gsearch,
Morgane,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197235034,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197262001?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197235049,
Richard,,Client déjà en CRM du passé,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000126051332,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197235123,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197351001?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197358011,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197361015,
Morgane,,Site Web / Recherche Google,PROMO,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197476001,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197476011,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,1245,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197506001?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197514001?pfrom=gsearch,
Paul,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197524001?pfrom=gsearch,
Richard,,Site Web / Recherche Google,DISTRIBUTION PUB,2095,https://crm.zoho.com/crm/org48245615/tab/Accounts/1402586000197834030?pfrom=gsearch,
Kim,,Site Web / Recherche Google,NUMERIQUE,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197515006?pfrom=gsearch,
Sylvain,,Site Web / Recherche Google,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197512007?pfrom=gsearch,
Richard,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197553001?pfrom=gsearch,
Sylvain,,Meta Ads,DISTRIBUTION PUB,0,https://crm.zoho.com/crm/org48245615/tab/Leads/1402586000197555001?pfrom=gsearch,
